tipo;situacao;data;hora;bairro;endereco;numero;complemento;natureza;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;natureza_acidente;detalhe_endereco_acidente;endereco_cruzamento;numero_cruzamento;referencia_cruzamento;bairro_cruzamento;vitimasfatais;DATA;num_semaforo;sentido_via;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3;Protocolo
COLISÃO COM CICLISTA;CANCELADA;;17:31:00;AFOGADOS;RUA COSME VIANA;181;PROX. AO EROS HOTEL;;AUTO E CICLISTA;1.0;;;1.0;;;;;;1.0;COM VÍTIMA;;RUA COSME VIANA;181;PROX. AO EROS HOTEL;AFOGADOS;;2018-05-18;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;09:14:00;ARRUDA;AV BEBERIBE;131;E/F AO POSTO DE GASOLINA PETROBRAS. SENTIDO ENCRUZILHADA;;COM UMA VÍTIMA. EM ATENDIMENTO PELOS BOMBEIROS.;;;;1.0;;1.0;;;;1.0;COM VÍTIMA;;AV BEBERIBE;131;E/F AO POSTO DE GASOLINA PETROBRAS. SENTIDO ENCRUZILHADA;ARRUDA;;2018-05-23;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;15:27:00;SANTO AMARO;AV JOAO DE BARROS;860;EM FRENTE A CLINICA SANTO AMARO;;COLISÃO COM VÍTIMA;;;;1.0;;1.0;;;;1.0;COM VÍTIMA;;AV JOAO DE BARROS;860;EM FRENTE A CLINICA SANTO AMARO;SANTO AMARO;;2018-05-23;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;14:48:00;SANTO AMARO;AV GOVERNADOR AGAMENON MAGALHAES;;E/F A FABRICA TACARUNA S/T RECIFE;;COLISAO ENTRE AUTO E CICLISTA COM UMA VITIMA;1.0;;;1.0;;;;;;1.0;COM VÍTIMA;;AV GOVERNADOR AGAMENON MAGALHAES;;E/F A FABRICA TACARUNA S/T RECIFE;SANTO AMARO;;2018-05-26;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;CANCELADA;;08:53:00;COQUEIRAL;RUA DA CUSTODIA;324;E/F A RESIDENCIA.;;SEM VITIMAS;1.0;;;1.0;;;;;;0.0;SEM VÍTIMA;;RUA DA CUSTODIA;324;E/F A RESIDENCIA.;COQUEIRAL;;2018-05-27;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;12:39:00;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;;SENT/BOA VIAGEM EM FRENTE A O HOSPITAL DA RESTAURAÇÃO;;COM UMA VITIMA;1.0;;;1.0;;;;;;1.0;COM VÍTIMA;;AV GOVERNADOR AGAMENON MAGALHAES;;SENT/BOA VIAGEM EM FRENTE A O HOSPITAL DA RESTAURAÇÃO;DERBY;;2018-05-28;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;17:36:00;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;;COM HENRIQUE CAPITULINO;;;;;;1.0;;;;;;1.0;COM VÍTIMA;RUA HENRIQUE CAPITULINO;AV ENGENHEIRO DOMINGOS FERREIRA;;COM HENRIQUE CAPITULINO;BOA VIAGEM;;2018-05-31;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;19:27:00;BONGI;AV GENERAL SAN MARTIN;;CRUZAMENTO COM ABDIAS DE CARVALHO;;COLISAO COM CICLISTA X ONIBUS ;;;;1.0;;1.0;;;;1.0;COM VÍTIMA;AV ENG ABDIAS DE CARVALHO;AV GENERAL SAN MARTIN;;CRUZAMENTO COM ABDIAS DE CARVALHO;BONGI;;2018-06-01;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;10:46:00;SÃO JOSÉ;AV SUL;;FAIXA DO ONIBUS;;ONIBUS E CICLISTA;;;;1.0;;1.0;;;;1.0;COM VÍTIMA;;AV SUL;;FAIXA DO ONIBUS;SÃO JOSÉ;;2018-06-07;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;13:52:00;CABANGA;AV SUL;;NA ENTRADA DO CABANGA, SENTIDO CID/SUB. ÁPOS O SEMÁFORO 260, PRÓXIMO A PARADA DE ÔNIBUS 180009;;ONIBUS E CICLISTA;;;;2.0;;1.0;;;;2.0;COM VÍTIMA;;AV SUL;;NA ENTRADA DO CABANGA, SENTIDO CID/SUB. ÁPOS O SEMÁFORO 260, PRÓXIMO A PARADA DE ÔNIBUS 180009;CABANGA;;2018-06-22;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;06:50:00;BOA VISTA;AV GOVERNADOR CARLOS DE LIMA CAVALCANTI;75;E/F AO EDF. QUATRO DE OUTUBRO;;COM UMA VÍTIMA;;;;1.0;;;;;;1.0;COM VÍTIMA;;AV GOVERNADOR CARLOS DE LIMA CAVALCANTI;75;E/F AO EDF. QUATRO DE OUTUBRO;BOA VISTA;;2018-06-25;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;CANCELADA;;19:13:00;CABANGA;PTE GOVERNADOR PAULO GUERRA;1253;E/F A COMPESA, SNT SHOPPING RIO MAR;;ENTRE AUTO E CICLISTA. C/V;1.0;;;1.0;;;;;;1.0;COM VÍTIMA;;PTE GOVERNADOR PAULO GUERRA;1253;E/F A COMPESA, SNT SHOPPING RIO MAR;CABANGA;;2018-06-25;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;CANCELADA;;18:41:00;AFOGADOS;RUA COSME VIANA;86;SEMAFORO 553 // ENF A FLAVIO MOTOS E RECIFE RODAS;;MOTO X BICICLETA;;1.0;;1.0;;;;;;0.0;SEM VÍTIMA;;RUA COSME VIANA;86;SEMAFORO 553 // ENF A FLAVIO MOTOS E RECIFE RODAS;AFOGADOS;;2018-06-27;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;09:25:00;BOA VIAGEM;RUA DR VICENTE GOMES;336;APOS A LOCALIZA, SENTIDO CIDADE ANTES DO PARQUE DONA LINDU;;ATROPELAMENTO A UM CICLISTA;1.0;;;1.0;;;;;;1.0;COM VÍTIMA;;RUA DR VICENTE GOMES;336;APOS A LOCALIZA, SENTIDO CIDADE ANTES DO PARQUE DONA LINDU;BOA VIAGEM;;2018-06-29;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;07:53:00;ENCRUZILHADA;AV NORTE;2459;PROX. A JACAUNA;;ONIBUS E CICLISTA;;;;1.0;;1.0;;;;1.0;COM VÍTIMA;;AV NORTE;2459;PROX. A JACAUNA;ENCRUZILHADA;;2018-07-05;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;08:02:00;BEBERIBE;AV BEBERIBE;2740;ENFRENTE AO MERCADINHO KLM;;ONIBUS E CICLISTA, SAMU NO LOCAL;;;;1.0;;1.0;;;;1.0;COM VÍTIMA;;AV BEBERIBE;2740;ENFRENTE AO MERCADINHO KLM;BEBERIBE;;2018-07-09;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;11:04:00;CASA AMARELA;EST DO ARRAIAL;;LADO OPOSTO DO MERCADO DE CASA AMARELA;;MOTO BICICLETA / VT 07 NO QTH;;1.0;;1.0;;;;;;1.0;COM VÍTIMA;;EST DO ARRAIAL;;LADO OPOSTO DO MERCADO DE CASA AMARELA;CASA AMARELA;;2018-07-09;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;CANCELADA;;11:10:00;GRAÇAS;RUA DAS PERNAMBUCANAS;10;E/F A DROGARIA BONGI;;COLISÃO SEM VITIMAS. COLISÃO ENVOLVENDO QUATRO VEÍCULOS E UMA BICICLETA.;5.0;;;1.0;;;;;;0.0;SEM VÍTIMA;;RUA DAS PERNAMBUCANAS;10;E/F A DROGARIA BONGI;GRAÇAS;;2018-07-09;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;07:18:00;CASA AMARELA;AV NORTE;;EM FRENTE AO SESC;;MOTO E BICICLETA VT 06 NOQTH;;1.0;;1.0;;;;;;1.0;COM VÍTIMA;AV PROFESSOR JOSE DOS ANJOS;AV NORTE;;EM FRENTE AO SESC;CASA AMARELA;;2018-07-12;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;18:56:00;ILHA JOANA BEZERRA;AV DES GUERRA BARRETO;;AO LADO DO FÓRUM DE RECIFE / PRÓX AO VIADUTO;;MOTO X BICICLETA. C/V;;1.0;;1.0;;;;;;1.0;COM VÍTIMA;;AV DES GUERRA BARRETO;;AO LADO DO FÓRUM DE RECIFE / PRÓX AO VIADUTO;ILHA JOANA BEZERRA;;2018-07-13;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;07:17:00;CASA AMARELA;RUA PADRE LEMOS;;AO LADO DO BOMPREÇO;;COLISÃO ENTRE MOTO AUTO E CICLISTA. O AUTO PASSEIO EVADIU-SE DO LOCAL. AS DUAS VÍTIMAS FORAM SOCORRIDAS PELO SAMU E BOMBEIROS;;1.0;;1.0;;;;;;2.0;COM VÍTIMA;;RUA PADRE LEMOS;;AO LADO DO BOMPREÇO;CASA AMARELA;;2018-07-15;;;;;;;;;;;;;;;;
